[2013-05-04 19:21:03.940] Connecting to: ftp.isd.ktu.lt, port: 21
[2013-05-04 19:21:04.525] Connected successfully
[2013-05-04 19:21:06.633] Remote system is UNIX Type: L8
[2013-05-04 19:21:06.686] Download directory: ./downloads/
[2013-05-04 19:21:06.780] Downloading files from: Studentams/Ablonskis/P175M109/laboratoriniai/L2/
[2013-05-04 19:21:06.854] Downloading files from: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle
[2013-05-04 19:21:06.931] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-02-1.txt
[2013-05-04 19:21:06.942] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-03-1.txt
[2013-05-04 19:21:06.956] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-03-2.txt
[2013-05-04 19:21:06.967] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-04-1.txt
[2013-05-04 19:21:06.980] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-04-2.txt
[2013-05-04 19:21:06.991] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-06-1.txt
[2013-05-04 19:21:07.002] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-06-2.txt
[2013-05-04 19:21:07.014] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-06-3.txt
[2013-05-04 19:21:07.025] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-07-1.txt
[2013-05-04 19:21:07.037] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-07-2.txt
[2013-05-04 19:21:07.048] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-08-1.txt
[2013-05-04 19:21:07.059] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-09-1.txt
[2013-05-04 19:21:07.069] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-09-2.txt
[2013-05-04 19:21:07.080] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-10-1.txt
[2013-05-04 19:21:07.091] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-10-2.txt
[2013-05-04 19:21:07.102] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-10-3.txt
[2013-05-04 19:21:07.114] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-11-1.txt
[2013-05-04 19:21:07.125] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-11-2.txt
[2013-05-04 19:21:07.136] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-11-3.txt
[2013-05-04 19:21:07.148] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-11-4.txt
[2013-05-04 19:21:07.159] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-11-5.txt
[2013-05-04 19:21:07.170] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-11-6.txt
[2013-05-04 19:21:07.181] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-12-1.txt
[2013-05-04 19:21:07.194] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-12-2.txt
[2013-05-04 19:21:07.205] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-12-3.txt
[2013-05-04 19:21:07.216] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-12-4.txt
[2013-05-04 19:21:07.227] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-12-5.txt
[2013-05-04 19:21:07.238] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-12-6.txt
[2013-05-04 19:21:07.249] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-12-7.txt
[2013-05-04 19:21:07.260] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-1.txt
[2013-05-04 19:21:07.272] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-10.txt
[2013-05-04 19:21:07.284] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-11.txt
[2013-05-04 19:21:07.294] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-12.txt
[2013-05-04 19:21:07.306] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-13.txt
[2013-05-04 19:21:07.316] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-14.txt
[2013-05-04 19:21:07.327] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-15.txt
[2013-05-04 19:21:07.339] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-2.txt
[2013-05-04 19:21:07.350] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-3.txt
[2013-05-04 19:21:07.361] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-4.txt
[2013-05-04 19:21:07.372] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-5.txt
[2013-05-04 19:21:07.384] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-6.txt
[2013-05-04 19:21:07.394] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-7.txt
[2013-05-04 19:21:07.404] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-8.txt
[2013-05-04 19:21:07.414] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-13-9.txt
[2013-05-04 19:21:07.424] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-14-1.txt
[2013-05-04 19:21:07.435] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-14-2.txt
[2013-05-04 19:21:07.445] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-14-3.txt
[2013-05-04 19:21:07.456] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-15-1.txt
[2013-05-04 19:21:07.466] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-15-2.txt
[2013-05-04 19:21:07.476] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-15-3.txt
[2013-05-04 19:21:07.486] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-15-4.txt
[2013-05-04 19:21:07.496] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-15-5.txt
[2013-05-04 19:21:07.506] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-15-6.txt
[2013-05-04 19:21:07.516] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-16-1.txt
[2013-05-04 19:21:07.526] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-16-2.txt
[2013-05-04 19:21:07.536] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-16-3.txt
[2013-05-04 19:21:07.547] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-16-4.txt
[2013-05-04 19:21:07.558] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-16-5.txt
[2013-05-04 19:21:07.568] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-16-6.txt
[2013-05-04 19:21:07.578] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-16-7.txt
[2013-05-04 19:21:07.589] Fetch file: Studentams/Ablonskis/P175M109/laboratoriniai/L2//balazentyte-egle/2011-03-17-1.txt
